ham	Hey, are we still meeting today?
spam	You have been selected for a $500 Walmart gift card. Claim now.
ham	Lunch at 1 PM?
ham	I'll call you back soon.
ham	Hey, are we still meeting today?
ham	Hey, are we still meeting today?
ham	Lunch at 1 PM?
spam	Exclusive offer just for you—limited time only.
ham	I'll call you back soon.
ham	Lunch at 1 PM?
ham	Lunch at 1 PM?
spam	URGENT! Your account has been compromised. Click here to secure it.
ham	Don't forget to bring the documents.
ham	See you at the gym tomorrow.
ham	I'll call you back soon.
ham	Are you free this weekend?
ham	Don't forget to bring the documents.
ham	Are you free this weekend?
ham	Hey, are we still meeting today?
ham	Don't forget to bring the documents.
ham	Don't forget to bring the documents.
ham	I'll call you back soon.
ham	See you at the gym tomorrow.
ham	Are you free this weekend?
ham	Don't forget to bring the documents.
ham	Don't forget to bring the documents.
ham	I'll call you back soon.
ham	I'll call you back soon.
ham	See you at the gym tomorrow.
ham	Are you free this weekend?
ham	Hey, are we still meeting today?
ham	See you at the gym tomorrow.
ham	Hey, are we still meeting today?
spam	You have been selected for a $500 Walmart gift card. Claim now.
spam	URGENT! Your account has been compromised. Click here to secure it.
ham	Are you free this weekend?
ham	See you at the gym tomorrow.
ham	Don't forget to bring the documents.
ham	Are you free this weekend?
ham	Are you free this weekend?
ham	Are you free this weekend?
ham	Don't forget to bring the documents.
ham	See you at the gym tomorrow.
spam	Act now and save big on your car insurance.
ham	Don't forget to bring the documents.
ham	Are you free this weekend?
ham	See you at the gym tomorrow.
ham	Lunch at 1 PM?
ham	Hey, are we still meeting today?
ham	Are you free this weekend?
spam	You have been selected for a $500 Walmart gift card. Claim now.
ham	I'll call you back soon.
spam	Winner! Call now to collect your prize.
spam	You have been selected for a $500 Walmart gift card. Claim now.
ham	Are you free this weekend?
spam	URGENT! Your account has been compromised. Click here to secure it.
ham	See you at the gym tomorrow.
ham	Lunch at 1 PM?
ham	See you at the gym tomorrow.
ham	Don't forget to bring the documents.
ham	Don't forget to bring the documents.
ham	See you at the gym tomorrow.
ham	Lunch at 1 PM?
ham	See you at the gym tomorrow.
ham	See you at the gym tomorrow.
ham	Hey, are we still meeting today?
ham	Lunch at 1 PM?
ham	Hey, are we still meeting today?
ham	Are you free this weekend?
spam	Exclusive offer just for you—limited time only.
ham	Are you free this weekend?
ham	Lunch at 1 PM?
ham	See you at the gym tomorrow.
ham	Are you free this weekend?
ham	I'll call you back soon.
ham	Don't forget to bring the documents.
ham	See you at the gym tomorrow.
